,Num,Age,GENDER,PER1,PER2,PER3,RUM1,RUM2,RUM3,EX1,EX2,EX3,EX4
44,72,42,1,4,6.0,2,4,4.0,5.0,4.0,3.0,3.0,3.0
45,73,43,1,5,5.0,4,5,5.0,5.0,1.0,1.0,1.0,1.0
46,76,44,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
47,77,44,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
48,79,45,1,1,1.0,1,1,1.0,1.0,3.0,3.0,3.0,1.0
49,80,44,1,2,3.0,2,3,3.0,4.0,1.0,1.0,2.0,3.0
50,81,44,1,2,1.0,1,1,1.0,2.0,1.0,1.0,2.0,1.0
51,82,44,1,1,1.0,1,3,2.0,3.0,2.0,3.0,2.0,2.0
52,83,44,2,1,1.0,1,2,2.0,2.0,2.0,3.0,2.0,3.0
53,84,44,2,2,2.0,2,1,2.0,2.0,2.0,2.0,3.0,4.0
54,85,44,2,2,1.0,2,3,1.0,2.0,2.0,1.0,1.0,2.0
55,87,43,2,2,2.0,2,3,3.0,3.0,1.0,1.0,1.0,1.0
56,90,45,2,5,6.0,4,3,4.0,3.0,4.0,2.0,1.0,1.0
57,91,45,2,4,3.0,3,3,1.0,2.0,2.0,1.0,1.0,2.0
58,93,44,2,1,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
59,94,44,2,1,1.0,1,1,1.0,3.0,2.0,2.0,4.0,2.0
60,95,45,1,1,1.0,1,1,2.0,1.0,2.0,4.0,2.0,2.0
61,96,44,1,3,2.0,2,1,1.0,3.0,2.0,3.0,2.0,1.0
62,98,44,1,4,4.0,4,3,4.0,3.0,2.0,1.0,2.0,1.0
63,100,44,1,2,2.0,2,3,4.0,4.0,1.0,4.0,3.0,2.0
64,102,45,1,2,2.0,3,1,1.0,3.0,1.0,1.0,1.0,1.0
65,104,44,1,3,1.0,1,2,1.0,2.0,2.0,2.0,1.0,1.0
66,105,44,1,1,1.0,1,1,2.0,2.0,2.0,4.0,3.0,2.0
67,106,44,1,2,2.0,4,4,3.0,4.0,1.0,2.0,4.0,4.0
68,107,44,1,2,1.0,1,5,4.0,5.0,4.0,2.0,5.0,3.0
69,108,44,1,4,3.0,5,2,3.0,2.0,2.0,2.0,3.0,1.0
70,109,45,1,2,1.0,4,5,5.0,3.0,4.0,3.0,5.0,4.0
71,110,44,1,3,2.0,4,4,2.0,5.0,3.0,2.0,3.0,2.0
72,112,44,1,2,3.0,3,2,2.0,3.0,2.0,2.0,2.0,2.0
73,113,45,2,2,1.0,1,2,2.0,2.0,2.0,2.0,2.0,1.0
74,114,45,2,3,1.0,1,5,4.0,3.0,4.0,2.0,3.0,3.0
75,115,44,2,4,4.0,2,2,3.0,3.0,2.0,2.0,2.0,2.0
76,116,44,2,5,5.0,6,2,2.0,5.0,2.0,2.0,1.0,1.0
77,119,44,2,6,2.0,4,2,5.0,6.0,1.0,1.0,2.0,1.0
78,123,44,2,4,5.0,4,2,2.0,3.0,1.0,1.0,1.0,1.0
79,126,44,2,1,3.0,3,4,4.0,4.0,3.0,3.0,3.0,3.0
80,127,44,2,3,3.0,2,2,3.0,5.0,3.0,2.0,2.0,1.0
81,128,44,2,4,6.0,2,3,3.0,3.0,2.0,2.0,3.0,3.0
82,129,44,2,4,5.0,5,5,4.0,4.0,3.0,3.0,1.0,3.0
83,130,44,2,4,2.0,6,4,3.0,4.0,2.0,2.0,3.0,3.0
84,131,43,2,3,5.0,2,3,4.0,4.0,1.0,3.0,3.0,3.0
85,134,44,2,4,4.0,4,4,4.0,5.0,2.0,2.0,2.0,2.0
86,138,45,2,4,2.0,3,3,4.0,5.0,4.0,1.0,2.0,2.0
87,139,44,2,2,1.0,1,2,2.0,5.0,3.0,3.0,3.0,2.0
88,140,44,2,4,3.0,3,4,4.0,4.0,3.0,3.0,3.0,3.0
89,141,44,2,4,4.0,5,4,4.0,4.0,2.0,3.0,3.0,3.0
90,142,44,2,3,2.0,1,2,3.0,3.0,1.0,1.0,2.0,1.0
91,143,45,2,3,3.0,3,3,4.0,4.0,1.0,1.0,1.0,1.0
92,144,46,2,3,1.0,2,1,1.0,1.0,2.0,4.0,5.0,4.0
93,145,46,2,5,5.0,5,4,4.0,3.0,2.0,2.0,2.0,2.0
94,146,46,2,1,2.0,4,4,3.0,2.0,2.0,3.0,1.0,4.0
95,147,46,2,4,5.0,6,5,5.0,5.0,5.0,2.0,1.0,1.0
96,148,45,2,1,4.0,4,6,3.0,3.0,2.0,2.0,1.0,2.0
97,149,46,2,6,6.0,4,6,5.0,5.0,5.0,5.0,4.0,4.0
98,150,44,2,3,2.0,4,3,3.0,3.0,2.0,3.0,3.0,2.0
99,151,44,2,4,4.0,5,3,5.0,5.0,4.0,2.0,2.0,3.0
100,152,45,2,6,6.0,5,3,4.0,5.0,1.0,1.0,1.0,1.0
101,154,44,2,1,1.0,1,1,1.0,2.0,1.0,1.0,1.0,1.0
102,155,44,1,4,3.0,2,4,5.0,5.0,3.0,2.0,2.0,2.0
103,156,44,1,2,1.0,1,3,2.0,4.0,2.0,2.0,2.0,2.0
104,157,43,1,3,3.0,2,3,3.0,3.0,2.0,1.0,2.0,1.0
105,158,43,1,2,1.0,1,1,2.0,3.0,2.0,1.0,2.0,2.0
106,160,45,1,2,3.0,1,3,3.0,5.0,2.0,3.0,3.0,2.0
107,161,48,1,3,2.0,2,3,2.0,4.0,2.0,2.0,2.0,2.0
108,163,47,1,2,2.0,1,2,2.0,3.0,1.0,1.0,2.0,1.0
109,164,47,1,3,2.0,1,3,3.0,5.0,2.0,2.0,2.0,2.0
110,165,47,1,3,2.0,1,2,2.0,2.0,1.0,2.0,2.0,1.0
111,167,48,1,4,2.0,2,2,1.0,3.0,1.0,1.0,1.0,1.0
112,168,48,1,3,3.0,4,3,4.0,4.0,4.0,2.0,3.0,3.0
113,170,42,1,4,3.0,3,4,4.0,4.0,3.0,4.0,3.0,3.0
114,171,48,1,5,4.0,5,3,4.0,5.0,1.0,1.0,1.0,1.0
115,172,48,1,2,3.0,1,4,4.0,4.0,4.0,4.0,5.0,4.0
116,173,42,1,4,2.0,1,5,5.0,4.0,5.0,3.0,4.0,5.0
117,178,44,1,1,1.0,1,2,4.0,2.0,1.0,1.0,1.0,1.0
118,179,43,1,2,1.0,1,1,1.0,4.0,1.0,1.0,2.0,1.0
119,180,43,1,6,6.0,7,7,6.0,7.0,4.0,4.0,3.0,4.0
120,182,44,1,4,3.0,4,2,5.0,4.0,1.0,2.0,1.0,1.0
121,185,44,1,6,7.0,4,3,3.0,4.0,2.0,2.0,4.0,5.0
122,186,43,1,6,1.0,5,3,3.0,3.0,1.0,1.0,1.0,1.0
123,187,44,1,2,3.0,2,1,3.0,2.0,1.0,1.0,2.0,3.0
124,190,43,1,6,3.0,3,7,5.0,5.0,2.0,1.0,2.0,3.0
125,191,43,1,5,4.0,5,5,5.0,3.0,2.0,3.0,2.0,4.0
126,193,44,1,5,4.0,3,1,1.0,4.0,1.0,4.0,3.0,1.0
127,195,43,1,6,5.0,4,2,2.0,2.0,1.0,1.0,2.0,1.0
128,196,46,1,4,4.0,4,4,5.0,5.0,4.0,3.0,3.0,4.0
129,197,46,1,1,1.0,1,2,2.0,2.0,2.0,2.0,3.0,2.0
130,198,44,1,3,2.0,4,3,5.0,6.0,4.0,4.0,4.0,2.0
131,199,45,1,2,1.0,1,2,2.0,3.0,2.0,3.0,3.0,2.0
132,200,45,1,1,2.0,1,2,3.0,1.0,1.0,2.0,1.0,1.0
133,201,45,1,3,3.0,3,1,3.0,4.0,2.0,2.0,2.0,3.0
134,202,45,1,2,2.0,2,3,3.0,3.0,2.0,2.0,2.0,2.0
135,203,45,1,1,2.0,1,2,2.0,2.0,2.0,1.0,2.0,3.0
136,204,45,1,4,3.0,3,3,3.0,3.0,1.0,1.0,1.0,1.0
137,205,45,2,4,3.0,4,2,3.0,4.0,2.0,1.0,2.0,1.0
138,206,46,2,1,1.0,2,2,3.0,2.0,3.0,3.0,2.0,2.0
139,208,45,2,2,2.0,2,2,2.0,3.0,2.0,3.0,3.0,3.0
140,209,44,2,2,2.0,1,2,2.0,2.0,1.0,1.0,3.0,1.0
141,210,43,2,3,1.0,1,2,4.0,3.0,1.0,1.0,2.0,1.0
142,211,43,2,5,4.0,2,3,3.0,4.0,4.0,2.0,4.0,3.0
143,212,44,2,1,2.0,3,2,3.0,3.0,4.0,2.0,3.0,3.0
144,213,44,1,3,2.0,2,1,2.0,3.0,2.0,2.0,4.0,2.0
145,214,44,1,2,2.0,1,1,3.0,3.0,1.0,1.0,1.0,2.0
146,216,43,1,4,4.0,1,2,2.0,2.0,2.0,3.0,3.0,3.0
147,217,43,1,5,2.0,6,2,2.0,2.0,1.0,2.0,1.0,1.0
148,218,44,1,1,1.0,1,6,6.0,5.0,2.0,2.0,2.0,2.0
149,219,43,1,1,1.0,1,2,3.0,4.0,2.0,1.0,3.0,2.0
150,220,43,1,1,1.0,1,1,1.0,2.0,2.0,2.0,2.0,2.0
151,221,43,1,2,1.0,2,2,2.0,2.0,2.0,3.0,2.0,2.0
152,222,43,1,1,1.0,1,2,1.0,2.0,2.0,3.0,2.0,2.0
153,223,45,1,7,1.0,2,2,2.0,2.0,2.0,2.0,3.0,1.0
154,224,43,1,3,3.0,3,3,3.0,3.0,2.0,2.0,2.0,2.0
155,225,43,1,2,1.0,1,2,2.0,2.0,2.0,1.0,2.0,2.0
156,226,43,1,4,6.0,2,4,4.0,5.0,2.0,3.0,4.0,5.0
157,228,43,1,3,1.0,1,3,5.0,5.0,1.0,1.0,1.0,1.0
158,230,43,1,2,2.0,7,3,3.0,4.0,1.0,1.0,4.0,5.0
159,234,43,1,3,2.0,4,2,3.0,2.0,3.0,2.0,1.0,1.0
160,235,43,1,4,3.0,5,4,4.0,5.0,2.0,2.0,2.0,2.0
161,236,43,1,4,4.0,4,2,2.0,2.0,1.0,1.0,1.0,1.0
162,239,43,1,5,3.0,5,3,3.0,4.0,3.0,3.0,4.0,3.0
163,240,43,1,6,5.0,5,5,5.0,5.0,2.0,2.0,2.0,2.0
164,241,43,1,3,4.0,4,4,4.0,4.0,2.0,1.0,1.0,1.0
165,242,42,1,5,2.0,1,3,1.0,1.0,1.0,1.0,1.0,1.0
166,243,42,1,2,2.0,2,1,1.0,2.0,3.0,4.0,5.0,3.0
167,244,42,1,4,1.0,1,1,1.0,1.0,2.0,3.0,4.0,1.0
168,245,42,1,3,1.0,2,2,2.0,1.0,2.0,2.0,3.0,1.0
169,247,42,1,1,1.0,1,4,2.0,3.0,2.0,2.0,2.0,2.0
170,248,43,1,3,4.0,2,3,3.0,4.0,2.0,1.0,1.0,1.0
171,251,43,1,1,1.0,1,1,1.0,1.0,3.0,2.0,2.0,1.0
172,257,42,1,2,2.0,2,1,1.0,2.0,1.0,1.0,1.0,1.0
173,258,43,1,4,4.0,4,1,1.0,3.0,1.0,1.0,2.0,1.0
174,259,43,1,1,1.0,1,2,3.0,1.0,1.0,1.0,2.0,1.0
175,261,42,1,5,2.0,1,2,3.0,3.0,1.0,1.0,1.0,1.0
176,262,43,1,1,1.0,1,4,4.0,4.0,1.0,2.0,2.0,2.0
177,263,43,1,5,3.0,4,4,5.0,5.0,3.0,4.0,3.0,4.0
178,265,43,1,1,1.0,1,2,4.0,5.0,2.0,3.0,3.0,3.0
179,266,43,1,1,1.0,1,2,4.0,4.0,1.0,1.0,1.0,1.0
180,267,43,1,4,6.0,5,4,5.0,4.0,1.0,3.0,2.0,1.0
181,268,43,1,4,1.0,2,2,1.0,1.0,4.0,3.0,3.0,3.0
182,269,43,1,1,3.0,3,1,1.0,2.0,1.0,1.0,1.0,1.0
183,272,43,1,3,2.0,2,2,2.0,3.0,2.0,2.0,3.0,2.0
184,273,43,1,1,1.0,1,1,3.0,3.0,3.0,1.0,1.0,1.0
185,274,43,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
186,275,43,1,1,2.0,2,3,2.0,3.0,1.0,1.0,1.0,1.0
187,276,43,1,6,1.0,1,1,1.0,4.0,5.0,5.0,5.0,5.0
188,277,43,1,2,1.0,1,2,3.0,2.0,1.0,1.0,1.0,1.0
189,279,43,1,2,2.0,2,2,3.0,4.0,1.0,2.0,3.0,4.0
190,280,43,1,3,3.0,3,7,5.0,6.0,4.0,1.0,4.0,3.0
191,281,43,1,4,6.0,3,5,5.0,4.0,1.0,1.0,1.0,1.0
192,282,43,1,4,3.0,1,3,3.0,3.0,2.0,2.0,3.0,3.0
193,284,43,1,2,1.0,3,2,3.0,5.0,2.0,3.0,2.0,2.0
194,285,43,1,6,5.0,3,4,2.0,4.0,2.0,2.0,4.0,3.0
195,286,43,1,5,1.0,1,2,4.0,4.0,3.0,3.0,2.0,2.0
196,290,43,1,1,2.0,2,1,2.0,3.0,1.0,2.0,2.0,2.0
197,291,42,1,1,4.0,3,2,3.0,3.0,2.0,1.0,1.0,5.0
198,292,42,1,4,2.0,3,2,2.0,3.0,3.0,3.0,2.0,3.0
199,293,42,1,5,5.0,6,3,4.0,5.0,2.0,2.0,5.0,2.0
200,294,42,1,3,2.0,2,2,3.0,4.0,2.0,2.0,3.0,3.0
201,295,42,1,4,2.0,5,2,3.0,2.0,2.0,1.0,1.0,2.0
202,302,43,1,2,2.0,1,4,5.0,4.0,2.0,2.0,2.0,2.0
203,303,43,1,1,2.0,1,2,2.0,3.0,1.0,1.0,1.0,1.0
204,304,42,1,6,4.0,2,1,3.0,2.0,3.0,4.0,4.0,3.0
205,305,43,1,2,1.0,1,2,3.0,3.0,2.0,2.0,2.0,1.0
206,306,43,1,4,1.0,1,2,2.0,2.0,4.0,4.0,4.0,3.0
207,307,42,1,3,2.0,1,2,2.0,2.0,3.0,2.0,2.0,2.0
208,308,43,1,4,3.0,3,4,5.0,4.0,2.0,2.0,2.0,2.0
209,309,43,1,2,2.0,2,2,2.0,2.0,1.0,1.0,1.0,1.0
210,310,43,1,1,1.0,1,2,1.0,2.0,4.0,3.0,3.0,2.0
211,312,43,1,3,4.0,1,2,2.0,3.0,1.0,1.0,3.0,1.0
212,315,43,1,2,2.0,2,2,2.0,4.0,3.0,2.0,3.0,3.0
213,316,43,2,2,2.0,3,2,2.0,4.0,4.0,4.0,4.0,4.0
